persona_id,total_persona_core_rows,core_representative_persona_core_rows,supporting_validation_persona_core_rows,exploratory_edge_persona_core_rows,excluded_from_deck_ready_core_persona_core_rows,core_representative_share_of_persona_core,supporting_validation_share_of_persona_core,exploratory_edge_share_of_persona_core,excluded_share_of_persona_core,has_core_representative_anchor,core_anchor_strength,supporting_validation_strength,exploratory_dependency_risk,excluded_source_dependency_risk,deck_ready_claim_evidence_status
persona_01,4490,1893,2419,126,52,0.4216,0.5388,0.0281,0.0116,True,strong,strong,low,low,core_anchored
persona_02,2570,1901,629,26,14,0.7397,0.2447,0.0101,0.0054,True,strong,strong,low,low,core_anchored
persona_03,807,591,206,3,7,0.7323,0.2553,0.0037,0.0087,True,strong,strong,low,low,core_anchored
persona_04,601,174,387,15,25,0.2895,0.6439,0.025,0.0416,True,strong,strong,low,low,core_anchored
persona_05,539,377,153,8,1,0.6994,0.2839,0.0148,0.0019,True,strong,strong,low,low,core_anchored
persona_06,254,101,144,8,1,0.3976,0.5669,0.0315,0.0039,True,strong,strong,low,low,core_anchored
persona_07,61,53,8,0,0,0.8689,0.1311,0.0,0.0,True,strong,weak,low,low,core_anchored
persona_08,54,34,19,1,0,0.6296,0.3519,0.0185,0.0,True,strong,moderate,low,low,core_anchored
persona_09,40,22,16,0,2,0.55,0.4,0.0,0.05,True,moderate,moderate,low,low,core_anchored
persona_10,16,4,12,0,0,0.25,0.75,0.0,0.0,True,weak,strong,low,low,supporting_validated
persona_11,13,4,8,0,1,0.3077,0.6154,0.0,0.0769,True,moderate,strong,low,low,core_anchored
